seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
46,1770.7,1771.62,1770.6,1771.38,300,2021-10-18 02:03:11,0:03:48,10199.999999999818,6800.000000000637,0.0,0.0,1769.42,1771.69,1768.96,1772.11,22699.999999999818,31499.999999998636
47,1771.38,1771.46,1770.66,1770.89,300,2021-10-18 02:06:59,0:03:05,7999.999999999545,4900.000000000091,0.0,0.0,1769.85,1771.69,1768.96,1772.11,18400.000000001455,31499.999999998636
48,1770.89,1771.56,1770.89,1771.34,300,2021-10-18 02:10:05,0:04:03,6699.999999998454,4499.999999998181,0.0,0.0,1769.95,1771.69,1768.96,1772.11,17400.00000000009,31499.999999998636
49,1771.36,1771.44,1770.74,1771.24,300,2021-10-18 02:14:08,0:04:31,7000.000000000455,1199.9999999989086,0.0,0.0,1769.95,1771.69,1768.96,1772.11,17400.00000000009,31499.999999998636
50,1771.29,1771.55,1770.9,1771.01,300,2021-10-18 02:18:48,0:09:37,6499.999999998636,2799.999999999727,0.0,0.0,1769.95,1771.62,1768.96,1772.11,16699.999999998454,31499.999999998636
51,1771.01,1771.82,1770.76,1771.44,300,2021-10-18 02:28:29,0:06:08,10599.999999999454,4300.000000000637,0.0,0.0,1769.95,1771.82,1768.96,1772.11,18699.99999999891,31499.999999998636
52,1771.44,1771.44,1770.79,1771.0,300,2021-10-18 02:34:41,0:04:51,6500.0000000009095,4400.000000000546,0.0,0.0,1769.95,1771.82,1769.08,1772.11,18699.99999999891,30299.999999999727
53,1771.04,1771.25,1770.72,1771.15,300,2021-10-18 02:39:32,0:06:33,5299.999999999727,1100.0000000012733,0.0,0.0,1769.95,1771.82,1769.08,1772.11,18699.99999999891,30299.999999999727
54,1771.15,1771.15,1770.44,1770.87,300,2021-10-18 02:46:05,0:05:21,7100.000000000364,2800.000000002001,0.0,0.0,1769.95,1771.82,1769.08,1772.11,18699.99999999891,30299.999999999727
55,1770.88,1771.28,1770.59,1770.73,300,2021-10-18 02:51:27,0:05:48,6900.000000000546,1500.0000000009095,0.0,0.0,1770.29,1771.82,1769.42,1772.11,15299.999999999727,26899.999999998272
56,1770.69,1770.94,1770.18,1770.21,300,2021-10-18 02:57:15,0:06:05,7599.999999999909,4800.000000000182,0.0,0.0,1770.18,1771.82,1769.42,1772.11,16399.999999998727,26899.999999998272
57,1770.2,1770.39,1769.79,1769.89,300,2021-10-18 03:03:21,0:04:07,6000.000000001364,3099.9999999994543,0.0,0.0,1769.79,1771.82,1769.42,1772.11,20299.999999999727,26899.999999998272
58,1769.89,1769.99,1769.01,1769.06,300,2021-10-18 03:07:29,0:04:19,9800.000000000182,8300.000000001546,0.0,0.0,1769.01,1771.82,1769.01,1772.11,28099.999999999454,30999.99999999909
59,1769.04,1769.08,1768.61,1768.98,300,2021-10-18 03:11:49,0:04:20,4700.000000000273,599.9999999994543,0.0,0.0,1768.61,1771.82,1768.61,1772.11,32100.000000000364,35000.0
60,1768.97,1769.66,1768.8,1768.94,300,2021-10-18 03:16:12,0:05:13,8600.000000001273,299.99999999972715,0.0,0.0,1768.61,1771.82,1768.61,1772.11,32100.000000000364,35000.0
61,1768.94,1769.12,1767.82,1768.26,300,2021-10-18 03:21:27,0:04:34,12999.999999999545,6800.000000000637,0.0,0.0,1767.82,1771.82,1767.82,1772.11,40000.0,42899.999999999636
62,1768.25,1768.53,1767.99,1768.04,300,2021-10-18 03:26:01,0:04:48,5399.999999999636,2100.000000000364,0.0,0.0,1767.82,1771.82,1767.82,1772.11,40000.0,42899.999999999636
